Identificador de URL,Nombre,Categorías,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo,Autor,Pag.,EDAD,FOTO TAPA,Encuadernación,Trailer/Video,Descripción Compuesta
,,,,,0.5,18,13,1,,134761,9789915694559,SI,NO,#MI PRIMERA TABLET - PARA APRENDER A DIBUJAR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694559  <br><br>FICHA TECNICA: Tapa dura,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#MI PRIMERA TABLET - PARA APRENDER A DIBUJAR - TABLET LCD,"#MI PRIMERA TABLET - PARA APRENDER A DIBUJAR - TABLET LCDLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694559,Unisex,a partir de 5 años,,NO APLICA,,a partir de 5 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131626/iWeJHZlhxw-zSU9c50p0bgTMqDk-.jpg?v=638889549247170000,Tapa dura,,#MI PRIMERA TABLET - PARA APRENDER A DIBUJAR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694559  <br><br>FICHA TECNICA: Tapa dura
,,,,,0.5,18,13,1,,142178,9789915696430,SI,NO,#MUJER EQUIVOCADA - MERCEDES ROSENDE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A ROSENDE MERCEDES  <br>  <br>EDAD SUGERIDA Adultos  <br><br>EDITORIAL ROSENDE MERCEDES  <br><br>ISBN 9789915696430  <br><br>FICHA TECNICA: Tapa rustica con solapas,LIBRO FICCIÓN Y TEMAS AFINES,#MUJER EQUIVOCADA - MERCEDES ROSENDE,#MUJER EQUIVOCADA - MERCEDES ROSENDELIBRO FICCIÓN Y TEMAS AFINESFicción y temas afines,ROSENDE MERCEDES,SI,9789915696430,Unisex,Adultos,,ROSENDE MERCEDES,,Adultos,https://sbslibreria.vtexassets.com/arquivos/ids/5194324/zLWsFO-BRrGbWkmGF-V1BBWRCGo-.jpg?v=638997922160170000,Tapa rustica con solapas,,#MUJER EQUIVOCADA - MERCEDES ROSENDE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A ROSENDE MERCEDES  <br>  <br>EDAD SUGERIDA Adultos  <br><br>EDITORIAL ROSENDE MERCEDES  <br><br>ISBN 9789915696430  <br><br>FICHA TECNICA: Tapa rustica con solapas
,,,,,0.5,18,13,1,,,9789915696423,SI,NO,#Producto  <br>  <br>  DESCRIPCION  <br><br>  <br><br>ISBN 9789915696423  <br><br>FICHA TECNICA: Tapa rústica,,,,,SI,9789915696423,Unisex,,,,,,,,,#Producto  <br>  <br>  DESCRIPCION  <br><br>  <br><br>ISBN 9789915696423  <br><br>FICHA TECNICA: Tapa rústica
,,,,,0.5,18,13,1,,134016,9789915696416,SI,NO,#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696416  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE,"#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUELIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915696416,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5127988/AiwWwgnat6c7-AKrE-yczgMYh-0-.jpg?v=638881060975000000,Cartone,,#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696416  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,130358,9789915696454,SI,NO,#HISTORIAS DE LA BIBLIA - ED. REVISADA  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 7 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696454  <br><br>FICHA TECNICA: Tapa dura,LIBRO FILOSOFÍA Y RELIGIÓN,#HISTORIAS DE LA BIBLIA - ED. REVISADA,#HISTORIAS DE LA BIBLIA - ED. REVISADALIBRO FILOSOFÍA Y RELIGIÓNFilosofía y religión,NO APLICA,SI,9789915696454,Unisex,a partir de 7 años,,NO APLICA,,a partir de 7 años,https://sbslibreria.vtexassets.com/arquivos/ids/5085543/Qzhnohp96WBR9584drj8OicKySE-.jpg?v=638858641999700000,Tapa dura,,#HISTORIAS DE LA BIBLIA - ED. REVISADA  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 7 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696454  <br><br>FICHA TECNICA: Tapa dura
,,,,,0.5,18,13,1,,142175,9789915696461,SI,NO,#OSCULO - MARTINA RAMOS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A RAMOS MARTINA  <br>  <br>EDAD SUGERIDA Adultos Jovenes  <br><br>EDITORIAL RAMOS MARTINA  <br><br>ISBN 9789915696461  <br><br>FICHA TECNICA: Tapa rustica,LIBRO FICCIÓN Y TEMAS AFINES,#OSCULO - MARTINA RAMOS,#OSCULO - MARTINA RAMOSLIBRO FICCIÓN Y TEMAS AFINESFicción y temas afines,RAMOS MARTINA,SI,9789915696461,Unisex,Adultos Jovenes,,RAMOS MARTINA,,Adultos Jovenes,https://sbslibreria.vtexassets.com/arquivos/ids/5194161/7lnfcbP1fV2Up5xj2MxEOek0rvA-.jpg?v=638997917678670000,Tapa rustica,,#OSCULO - MARTINA RAMOS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A RAMOS MARTINA  <br>  <br>EDAD SUGERIDA Adultos Jovenes  <br><br>EDITORIAL RAMOS MARTINA  <br><br>ISBN 9789915696461  <br><br>FICHA TECNICA: Tapa rustica
,,,,,0.5,18,13,1,,134015,9789915696478,SI,NO,#ASI SUENA MI MUNDO - LIBRO CON SONIDOS BILINGUE MAGIPALABRAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696478  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#ASI SUENA MI MUNDO - LIBRO CON SONIDOS BILINGUE MAGIPALABRAS,"#ASI SUENA MI MUNDO - LIBRO CON SONIDOS BILINGUE MAGIPALABRASLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915696478,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5127986/lvanWhJhuaY2kbb1sgH9hSl0M5g-.jpg?v=638881058665330000,Cartone,,#ASI SUENA MI MUNDO - LIBRO CON SONIDOS BILINGUE MAGIPALABRAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696478  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134016,9789915696485,SI,NO,#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696485  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE,"#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUELIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915696485,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5127988/AiwWwgnat6c7-AKrE-yczgMYh-0-.jpg?v=638881060975000000,Cartone,,#ASI SUENAN LOS ANIMALES - LIBRO CON SONIDOS BILINGUE  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696485  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134754,9789915694504,SI,NO,#OCEANO EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694504  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#OCEANO EN MOVIMIENTO - LEO CON SORPRESA POP UP,"#OCEANO EN MOVIMIENTO - LEO CON SORPRESA POP UPLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694504,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131622/LAZXVAil9FNezGxJbOEyte3DTTE-.jpg?v=638889543435770000,Cartone,,#OCEANO EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694504  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134762,9789915694511,SI,NO,#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694511  <br><br>FICHA TECNICA: Otros formatos,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD,"#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCDLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694511,Unisex,a partir de 5 años,,NO APLICA,,a partir de 5 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131625/fiGvaLsxN-pLEa6-VmURuorGmGg-.jpg?v=638889547156330000,Otros formatos,,#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694511  <br><br>FICHA TECNICA: Otros formatos
,,,,,0.5,18,13,1,,134756,9789915694498,SI,NO,#ANIMALES EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694498  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#ANIMALES EN MOVIMIENTO - LEO CON SORPRESA POP UP,"#ANIMALES EN MOVIMIENTO - LEO CON SORPRESA POP UPLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694498,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131620/Wk3FaxrTRxUWiHZCP-2VoemRGkE-.jpg?v=638889540281830000,Cartone,,#ANIMALES EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694498  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134757,9789915694481,SI,NO,#DINOS EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694481  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#DINOS EN MOVIMIENTO - LEO CON SORPRESA POP UP,"#DINOS EN MOVIMIENTO - LEO CON SORPRESA POP UPLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694481,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131619/uZaIXLKN7Ycq8fefz0urJ-80zbw-.jpg?v=638889538605970000,Cartone,,#DINOS EN MOVIMIENTO - LEO CON SORPRESA POP UP  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694481  <br><br>FICHA TECNICA: Cartone
